year,disease,vaccine,reported_cases,vaccine_recommend,population,population_under5,rate
2010,Rubella,MMR,5,1971,309348193,20189589,0.001616302
2011,Rubella,MMR,4,1971,311663358,20125988,0.001283436
2012,Rubella,MMR,9,1971,313998379,19980509,0.002866257
2013,Rubella,MMR,9,1971,316204908,19854133,0.002846256
2014,Rubella,MMR,6,1971,318563456,19877544,0.001883455
2015,Rubella,MMR,5,1971,320896618,19912499,0.001558134
2016,Rubella,MMR,1,1971,323127513,19927037,0.000309475
1969,Tetanus,Dtap,192,1949,201385000,,0.095339772
1970,Tetanus,Dtap,148,1949,203984000,,0.07255471
1971,Tetanus,Dtap,116,1949,206827000,,0.056085521
1972,Tetanus,Dtap,128,1949,209284000,,0.061160911
1973,Tetanus,Dtap,101,1949,211357000,,0.047786447
1974,Tetanus,Dtap,101,1949,213342000,,0.047341827
1975,Tetanus,Dtap,102,1949,215465000,,0.047339475
1976,Tetanus,Dtap,75,1949,217563000,,0.034472773
1977,Tetanus,Dtap,87,1949,219760000,,0.039588642
1978,Tetanus,Dtap,86,1949,222095000,,0.038722168
1979,Tetanus,Dtap,81,1949,224567000,,0.036069414
1980,Tetanus,Dtap,95,1949,227224681,16451184,0.041808839
1981,Tetanus,Dtap,72,1949,229465714,16892719,0.031377237
1982,Tetanus,Dtap,88,1949,231664458,17227829,0.037985974
1983,Tetanus,Dtap,91,1949,233791994,17546883,0.038923489
1984,Tetanus,Dtap,74,1949,235824902,17694905,0.031379214
1985,Tetanus,Dtap,83,1949,237923795,17841621,0.034885119
1986,Tetanus,Dtap,64,1949,240132887,17962501,0.02665191
1987,Tetanus,Dtap,48,1949,242288918,18052205,0.019811059
1988,Tetanus,Dtap,53,1949,244498982,18195420,0.021676982
1989,Tetanus,Dtap,53,1949,246819230,18508058,0.021473205
1990,Tetanus,Dtap,64,1949,249622814,18856447,0.025638682
1991,Tetanus,Dtap,57,1949,252980941,19208046,0.022531342
1992,Tetanus,Dtap,45,1949,256514224,19528041,0.017542887
1993,Tetanus,Dtap,48,1949,259918588,19729275,0.018467321
1994,Tetanus,Dtap,51,1949,263125821,19776862,0.019382362
1995,Tetanus,Dtap,41,1949,266278393,19626505,0.015397419
1996,Tetanus,Dtap,36,1949,269394284,19408272,0.013363312
1997,Tetanus,Dtap,50,1949,272646925,19232671,0.018338736
1998,Tetanus,Dtap,41,1949,275854104,19144923,0.014862929
1999,Tetanus,Dtap,40,1949,279040168,19135544,0.014334854
2000,Tetanus,Dtap,35,1949,282162411,19178293,0.012404204
2001,Tetanus,Dtap,37,1949,284968955,19298217,0.01298387
2002,Tetanus,Dtap,25,1949,287625193,19429192,0.008691867
2003,Tetanus,Dtap,20,1949,290107933,19592446,0.006893986
2004,Tetanus,Dtap,34,1949,292805298,19785885,0.011611812
2005,Tetanus,Dtap,27,1949,295516599,19917400,0.009136543
2006,Tetanus,Dtap,41,1949,298379912,19938883,0.013740871
2007,Tetanus,Dtap,28,1949,301231207,20125962,0.009295186
2008,Tetanus,Dtap,19,1949,304093966,20271127,0.006248069
2009,Tetanus,Dtap,18,1949,306771529,20244518,0.005867559
2010,Tetanus,Dtap,26,1949,309348193,20189589,0.008404769
2011,Tetanus,Dtap,36,1949,311663358,20125988,0.011550925
2012,Tetanus,Dtap,37,1949,313998379,19980509,0.0117835
2013,Tetanus,Dtap,26,1949,316204908,19854133,0.008222516
2014,Tetanus,Dtap,25,1949,318563456,19877544,0.00784773
2015,Tetanus,Dtap,29,1949,320896618,19912499,0.009037178
2016,Tetanus,Dtap,34,1949,323127513,19927037,0.010522162
